id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
0763.HK,HKG:0763,ZTE Ord Shs H,22.75,22.5,22.8,22.05,4954554.0,169246782250.0,2021-02-17,15.0,16316221.0,14.9,1.53,36.7,16.5,0.35,1.56,22.4,755502534.0
3908.HK,HKG:3908,China International Capital Corp Ltd,22.15,21.55,22.25,21.15,18579475.0,268702309872.0,2021-02-17,15.0,28137602.0,14.86,1.49,25.75,10.72,0.6,2.78,21.55,1903714428.0
0011.HK,HKG:0011,Hang Seng Bank Ltd,152.0,150.1,153.0,149.8,2096468.0,290600095872.0,2021-02-17,15.0,2049825.0,14.58,10.43,165.2,110.0,0.1,0.07,151.9,1911842736.0
3898.HK,HKG:3898,Zhuzhou CRRC Times Electric Co Ltd,39.1,38.75,39.2,37.1,5365098.0,45961109806.0,2021-02-17,15.0,15426709.0,14.46,2.7,48.4,19.18,0.65,1.69,38.45,547329400.0
2689.HK,HKG:2689,Nine Dragons Paper (Holdings) Ltd,14.66,14.06,14.76,14.02,12073241.0,68787956373.0,2021-02-17,15.0,12084355.0,13.74,1.07,14.76,6.1,0.46,3.24,14.2,4692220811.0
1513.HK,HKG:1513,Livzon Pharmaceutical Group Inc,29.3,29.1,29.45,28.7,460565.0,36982341837.0,2021-02-17,15.0,1085985.0,13.56,2.16,42.6,22.2,0.2,0.69,29.1,319864217.0
2883.HK,HKG:2883,China Oilfield Services Ord Shs H,10.94,10.72,11.02,10.62,16673008.0,86356188547.0,2021-02-17,15.0,39626242.0,13.4,0.82,12.86,4.52,0.06,0.55,10.88,1811124000.0
1530.HK,HKG:1530,3SBio Inc,8.42,8.19,8.45,8.04,9678820.0,21417120605.0,2021-02-17,15.0,12354002.0,13.31,0.63,14.5,6.66,0.24,2.93,8.18,2543600999.0
2128.HK,HKG:2128,China Lesso Group Holdings Ltd,16.34,16.16,16.44,15.86,11323500.0,50693517129.0,2021-02-17,15.0,5313809.0,13.3,1.23,16.88,8.2,0.12,0.74,16.22,3102418400.0
6030.HK,HKG:6030,CITIC Securities Company Ord Shs H,18.5,18.16,18.66,17.86,19992983.0,407111185000.0,2021-02-17,15.0,33838069.0,13.11,1.41,21.45,12.6,0.44,2.44,18.06,2278327700.0
