Symbol,shortName,sector,industry,marketCap,previousClose,fiftyTwoWeekLow,fiftyTwoWeekHigh,EPS (TTM)
0001.HK,CKH HOLDINGS,Industrials,Conglomerates,212671643648,56.1,45.05,72.2,10.33
0002.HK,CLP HOLDINGS,Utilities,Utilities—Regulated Electric,185694076928,73.7,65,84.2,1.84
0003.HK,HK & CHINA GAS,Utilities,Utilities—Regulated Gas,199038566400,11.16,10.64,14.6286,0.392
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate Services,53412274176,17.84,12.04,20.85,1.11
0005.HK,HSBC HOLDINGS,Financial Services,Banks—Diversified,850923225088,42.75,27.5,59.9,2.336
0006.HK,POWER ASSETS,Utilities,Utilities—Independent Power Producers,88251645952,41.35,39.2,57.5,3.34
0007.HK,,,,,,,,
0008.HK,PCCW,Communication Services,Telecom Services,34242304000,4.4,3.85,5.19,0.088
0009.HK,,,,,,,,
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate—Diversified,27239999488,21.45,14.02,21.6,5.01
0011.HK,HANG SENG BANK,Financial Services,Banks—Regional,274922602496,142.2,110,165.2,12.77
0012.HK,HENDERSON LAND,Real Estate,Real Estate Services,154185842688,32.5,26.05,37.75,3.51
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,30001117184,29.25,20,31.15,4.63
0015.HK,,,,,,,,
0016.HK,SHK PPT,Real Estate,Real Estate—Development,310955409408,108.6,87.6,116.4,15.5
0017.HK,NEW WORLD DEV,Real Estate,Real Estate—Diversified,92665831424,36.9,8.95,42.5,28.48
0018.HK,,,,,,,,
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,68808278016,50.2,35.1,75.3,6.0
0020.HK,,,,,,,,
0021.HK,,,,,,,,
