,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
0001.HK,HKG:0001,CK Hutchison Holdings Ltd,55.15,55.2,55.65,54.6,6894970,212671669459,2021/01/28,15,6575752,6.16,8.95,72.5,45.05,-0.95,-1.69,56.1,3856240500
0002.HK,HKG:0002,CLP Holdings Limited,73.5,73.95,73.95,72.9,4073213,185694116895,2021/01/28,15,3000404,16.04,4.58,84.2,65,-0.2,-0.27,73.7,2526450570
0003.HK,HKG:0003,The Hong Kong and China Gas Company Ltd.,11.2,11.12,11.24,11.06,31026758,199038610997,2021/01/28,15,23145112,34.66,0.32,14.63,10.64,0.04,0.36,11.16,17771304856
0004.HK,HKG:0004,Wharf Holdings Ltd,17.5,18,18,17.2,1779024,53412228222,2021/01/28,15,2967923,#N/A,-0.26,20.85,12.04,-0.34,-1.91,17.84,3052127327
0005.HK,HKG:0005,HSBC Holdings plc,41.55,42.3,42.45,41.35,36935168,79019007361,2021/01/28,15,28938499,#N/A,-0.86,59.9,27.5,-1.2,-2.81,42.75,20368347693
0006.HK,HKG:0006,Power Assets Holdings Ltd,41.35,41.15,41.5,40.8,3103678,88251716136,2021/01/28,15,2739089,15.75,2.62,57.5,39.2,0,0,41.35,2134261654
0007.HK,HKG:0007,Hong Kong Finance Investment Hldg Grp Ld,0.12,0.13,0.13,0.12,11782000,495999991,2021/01/28,15,30521067,0.91,0.14,0.92,0.05,0,-2.36,0.13,4000000000
0008.HK,HKG:0008,PCCW Limited Common Stock,4.43,4.35,4.43,4.34,16964561,34242296116,2021/01/28,15,10353945,#N/A,-0.01,5.19,3.85,0.03,0.68,4.4,7729638249
0009.HK,HKG:0009,Keyne Ltd,0.06,0.07,0.07,0.06,2436240,224833813,2021/01/28,15,737403,#N/A,-0.1,0.17,0.05,0,5,0.06,3568790629
0010.HK,HKG:0010,Hang Lung Group Limited,20,21.45,21.45,19.82,2722058,27232364840,2021/01/28,15,785892,18.01,1.11,21.45,14.02,-1.45,-6.76,21.45,1361618242
0011.HK,HKG:0011,Hang Seng Bank Ltd,143.8,140.8,144,139.9,3536950,274922991271,2021/01/28,15,1811725,13.79,10.43,165.2,110,1.6,1.13,142.2,1911842736
0012.HK,HKG:0012,"Henderson Land Development Co., Ltd.",31.85,32.2,32.2,31.4,4526089,154198177892,2021/01/28,15,2497373,12.52,2.54,37.75,26.05,-0.65,-2,32.5,4841387003
0014.HK,HKG:0014,Hysan Development Company Limited,28.85,29.25,29.25,28.45,2142670,29995371101,2021/01/28,15,1253968,#N/A,-0.55,31.15,20,-0.4,-1.37,29.25,1039700891
0015.HK,HKG:0015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0016.HK,HKG:0016,Sun Hung Kai Properties Limited,107.3,108,108,105.5,4479750,310931832243,2021/01/28,15,3887193,13.22,8.12,116.4,87.6,-1.3,-1.2,108.6,2897780274
0017.HK,HKG:0017,New World Development Company Ltd.,36.5,36.9,36.9,36.05,4192203,92906659116,2021/01/28,15,4412443,85.07,0.43,42.5,29.84,-0.4,-1.08,36.9,2545387921
0018.HK,HKG:0018,Oriental Press Group Ltd,0.5,0.48,0.5,0.48,150002,1198958949,2021/01/28,15,447851,30.1,0.02,0.58,0.39,0.02,4.17,0.48,2397917898
0019.HK,HKG:0019,Swire Pacific Ord Shs A,49.4,49.85,50,48.6,2298541,68808027125,2021/01/28,15,1582133,#N/A,-4.44,75.3,35.1,-0.8,-1.59,50.2,905206000
0020.HK,HKG:0020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0021.HK,HKG:0021,Great China Properties Holdings Ltd,0.08,#N/A,#N/A,#N/A,0,329944400,2021/01/25,15,370451,40.49,0,0.13,0.07,0,0,0.08,3975233406
0022.HK,HKG:0022,Mexan Limited,0.13,#N/A,#N/A,#N/A,0,245798483,2021/01/27,15,86333,#N/A,-0.04,0.16,0.1,0,0,0.13,1966387866
0023.HK,HKG:0023,Bank of East Asia Ltd,16.8,16.7,16.8,16.22,1379196,48998675553,2021/01/28,15,825774,15.89,1.06,19.98,13.8,0.3,1.82,16.5,2916587963
0024.HK,HKG:0024,Burwill Holdings Ltd,0.07,#N/A,#N/A,#N/A,0,#N/A,2019/08/16,15,#N/A,#N/A,-0.07,0.08,0.07,0,1.41,0.07,5111622235
0025.HK,HKG:0025,Chevalier International Holdings Limited,10.18,10.2,10.2,10.12,26000,3073631611,2021/01/28,15,25235,7.47,1.36,11.22,8.99,0,0,10.18,301928440
0026.HK,HKG:0026,China Motor Bus Company Ltd,98.15,98.5,98.5,97.5,4400,4446985765,2021/01/28,15,5438,39.89,2.46,127.6,90.2,-0.35,-0.36,98.5,45308056
0027.HK,HKG:0027,Galaxy Entertainment Group Limited,59.15,60.45,60.95,58.8,12902700,256952212816,2021/01/28,15,10172465,73.53,0.8,65,37,-1.8,-2.95,60.95,4344077873
0028.HK,HKG:0028,Tian An China Investments Co Ltd,4.55,4.63,4.63,4.55,181602,6827946370,2021/01/28,15,205715,9.88,0.46,4.79,2.44,-0.07,-1.52,4.62,1500647491
0029.HK,HKG:0029,Dynamic Holdings Limited,13.48,13.54,13.76,13.38,194000,3204245511,2021/01/28,15,214358,#N/A,-0.12,16.56,9.32,-0.34,-2.46,13.82,237703681
0030.HK,HKG:0030,Ban Loong Holdings Ltd,0.4,0.42,0.43,0.4,23538000,2579260902,2021/01/28,15,31511333,56.1,0.01,0.56,0.22,-0.02,-4.76,0.42,6448152160
0031.HK,HKG:0031,China Aerospace International Hldgs Ltd,0.73,0.76,0.82,0.72,22415193,2252066032,2021/01/28,15,7259421,6.84,0.11,0.82,0.33,-0.07,-8.75,0.8,3085021882
0032.HK,HKG:0032,Cross-Harbour Holdings Ltd,13.26,#N/A,#N/A,#N/A,2,4941845696,2021/01/27,15,21272,10.83,1.22,15.5,9.51,0,0,13.26,372688206
0033.HK,HKG:0033,Amber Hill Financial Holdings Ltd,1.23,1.28,1.31,1.1,1857943,660811488,2021/01/28,15,750065,#N/A,-4.15,2.4,0.55,-0.01,-0.81,1.24,537245104
0034.HK,HKG:0034,Kowloon Development Company Limited,8.55,8.64,8.64,8.52,138000,10060197805,2021/01/28,15,150371,8.57,1,9.9,7.14,-0.14,-1.61,8.69,1176631296
0035.HK,HKG:0035,Far East Consortium International Ltd.,2.81,2.85,2.85,2.75,1725673,6705800976,2021/01/28,15,1691438,2422.41,0,3.55,2.07,-0.04,-1.4,2.85,2386406090
0036.HK,HKG:0036,Far East Holdings International Limited,0.13,0.13,0.14,0.12,459000,141585411,2021/01/28,15,54692,#N/A,-0.05,0.2,0.09,0.01,13.04,0.12,1089118593
0037.HK,HKG:0037,Far East Hotels and Entertainment Ltd.,0.13,#N/A,#N/A,#N/A,0,78170970,2021/01/27,15,58376,#N/A,-0.03,0.2,0.1,0,0,0.13,610710675
0038.HK,HKG:0038,First Tractor Ord Shs H,3.69,3.58,3.76,3.58,4784000,8065967435,2021/01/28,15,9857658,6.48,0.57,4.25,1.25,0,0,3.69,391940000
0039.HK,HKG:0039,China Beidahuang Industry Group Hold Ltd,0.05,0.05,0.05,0.05,4584000,323706542,2021/01/28,15,4183220,#N/A,-0.05,0.09,0.04,0,-1.89,0.05,6225125683
0040.HK,HKG:0040,Gold Peak Industries (Holdings) Limited,0.63,0.6,0.63,0.6,172000,494356556,2021/01/28,15,370243,#N/A,-0.13,0.83,0.5,0.01,1.61,0.62,784692952
0041.HK,HKG:0041,Great Eagle Holdings Limited,23.85,24.5,24.5,23.7,90004,17170094945,2021/01/28,15,214728,#N/A,-12.53,24.9,17.3,-0.3,-1.24,24.15,719920112
0042.HK,HKG:0042,Northeast Electric Development Ord Shs H,0.6,0.6,0.61,0.58,302000,1330402252,2021/01/28,15,627867,3.86,0.16,0.68,0.36,-0.01,-1.64,0.61,257950000
0043.HK,HKG:0043,C.P. POKPHAND CO. LTD,0.76,0.74,0.76,0.74,9525300,18294590570,2021/01/28,15,8281505,3.47,0.22,0.9,0.56,0.02,2.7,0.74,24071837232
0044.HK,HKG:0044,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0045.HK,HKG:0045,Hongkong and Shanghai Hotels Ltd,6.86,6.92,6.94,6.82,474940,11315118873,2021/01/28,15,295920,#N/A,-0.59,8.68,5.6,-0.1,-1.44,6.96,1649434206
0046.HK,HKG:0046,Computer and Technologies Holdings Ltd,2.26,2.28,2.28,2.25,190000,563843745,2021/01/28,15,39656,11.97,0.19,3.14,2.04,-0.04,-1.74,2.3,249488384
0047.HK,HKG:0047,Hop Hing Group Holdings Limited,0.04,0.04,0.04,0.04,5532000,402817262,2021/01/28,15,4733400,#N/A,0,0.15,0.04,0,-4.76,0.04,10070431786
0048.HK,HKG:0048,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0050.HK,HKG:0050,Hong Kong Ferry Holdings Co Ltd,6.09,6.08,6.09,6.07,77500,2169708001,2021/01/28,15,85147,32.22,0.19,6.97,5.61,-0.01,-0.16,6.1,356273883
0051.HK,HKG:0051,Harbour Centre Development Limited,7.3,7.3,7.3,7.22,18002,5173875135,2021/01/28,15,11350,#N/A,-2.02,11.28,6.8,0,0,7.3,708750000
0052.HK,HKG:0052,Fairwood Holdings Limited,17.2,17.16,17.38,17.16,118252,2227963914,2021/01/28,15,105883,32.5,0.53,19.86,14.56,-0.1,-0.58,17.3,129532780
0053.HK,HKG:0053,Guoco Group Ltd,95.9,95.6,95.9,95.1,16112,31556027172,2021/01/28,15,150145,#N/A,-2.68,132,85,0.4,0.42,95.5,329051373
0054.HK,HKG:0054,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0055.HK,HKG:0055,Neway Group Holdings Ltd,0.39,0.38,0.39,0.38,40800,98919384,2021/01/28,15,258323,#N/A,-0.3,0.45,0.17,0.01,2.63,0.38,253639456
0056.HK,HKG:0056,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0057.HK,HKG:0057,Chen Hsong Holdings Limited,2.59,2.48,2.6,2.46,340000,1633076789,2021/01/28,15,422047,12.3,0.21,2.87,1.61,0.07,2.78,2.52,630531600
0058.HK,HKG:0058,Sunway International Holdings Limited,0.37,#N/A,#N/A,#N/A,2400,65554001,2021/01/27,15,47902,#N/A,-0.4,0.49,0.22,0.03,10.61,0.33,179600000
0059.HK,HKG:0059,Skyfame Realty (Holdings) Ltd,0.98,0.98,0.98,0.97,9676000,7778547291,2021/01/28,15,5495067,8.65,0.11,1.09,0.96,0,0,0.98,7937294107
0060.HK,HKG:0060,Hong Kong Food Investment Holdings Ltd,0.73,0.73,0.73,0.73,50000,189497784,2021/01/28,15,23933,#N/A,-0.06,0.82,0.49,-0.01,-1.35,0.74,259586000
0061.HK,HKG:0061,Green Leader Holdings Group Ltd,0.12,0.12,0.12,0.11,87500,68992744,2021/01/28,15,244337,#N/A,-2.09,0.62,0.1,0.01,8.49,0.11,526260404
0062.HK,HKG:0062,Transport International Holdings Ltd.,14.5,14.48,14.54,14.48,49602,6638400092,2021/01/28,15,60507,25.64,0.57,19.92,13.4,-0.1,-0.68,14.6,457820696
0063.HK,HKG:0063,China Asia Valley Group Ltd,0.1,0.1,0.1,0.09,50000,273452910,2021/01/28,15,1053100,323.33,0,0.23,0.07,0,-3,0.1,2819102084
