id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
1651.HK,HKG:1651,Precision Tsugami China Corporation Ltd,9.08,8.61,9.1,8.61,39000,3457700290,2021-03-05,15,190402,14.19,0.64,9.31,5.33,0.37,4.25,8.71,380804000
0868.HK,HKG:0868,Xinyi Glass Holdings Ltd.,22.45,21.0,22.95,19.9,24206445,90699095207,2021-03-05,15,14010686,14.13,1.59,25.15,7.74,0.5,2.28,21.95,4040048647
3306.HK,HKG:3306,JNBY Design Ltd,12.74,12.7,12.76,12.0,2099400,6608874881,2021-03-05,15,1088006,13.91,0.92,13.48,6.0,0.04,0.31,12.7,518750000
0763.HK,HKG:0763,ZTE Ord Shs H,20.9,20.0,20.9,19.96,9048016,164633100795,2021-03-05,15,13685322,13.71,1.52,34.8,16.5,0.35,1.7,20.55,755502534
1044.HK,HKG:1044,Hengan International Group Company Ltd,54.7,53.0,55.1,52.85,6810405,64892657615,2021-03-05,15,4456134,12.65,4.32,72.0,51.35,1.6,3.01,53.1,1186337417
0327.HK,HKG:0327,Pax Global Technology Ltd,7.3,7.06,7.4,6.93,4490342,7987214908,2021-03-05,15,4717691,11.69,0.62,9.23,2.46,0.04,0.55,7.26,1094139000
0411.HK,HKG:0411,Lam Soon (Hong Kong) Limited,15.6,15.38,15.6,15.38,10000,3796325066,2021-03-05,15,6048,11.68,1.34,15.6,10.0,0.22,1.43,15.38,243354165
3908.HK,HKG:3908,China International Capital Corp Ltd,17.34,16.86,17.44,16.3,29239193,223973672570,2021-03-05,15,27904227,11.65,1.49,25.75,10.72,0.02,0.12,17.32,1903714428
0135.HK,HKG:0135,Kunlun Energy Company Ltd,7.63,7.58,7.8,7.49,23110298,66066658022,2021-03-05,15,19400889,11.56,0.66,8.06,2.9,0.09,1.19,7.54,8658801708
1072.HK,HKG:1072,Dongfang Electric Ord Shs H,6.98,6.83,7.11,6.76,3403400,42949594377,2021-03-05,15,7987067,11.49,0.61,8.86,3.59,0.15,2.2,6.83,340000000
0303.HK,HKG:0303,Vtech Holdings Ltd,69.0,66.0,69.3,64.6,1502507,2215709678,2021-03-05,15,552272,11.43,6.04,71.1,41.1,3.0,4.55,66.0,252129133
2883.HK,HKG:2883,China Oilfield Services Ord Shs H,8.64,8.85,8.85,8.54,18072927,76326186392,2021-03-05,15,39897289,10.6,0.81,11.44,4.52,0.02,0.23,8.62,1811124000
2314.HK,HKG:2314,Lee & Man Paper Manufacturing Ltd,8.14,7.54,8.28,7.3,16959494,35381667372,2021-03-05,15,8041433,10.05,0.81,8.7,4.0,0.6,7.96,7.54,4346642000
0921.HK,HKG:0921,Hisense Home Appliances Group Ord Shs H,12.72,12.42,12.86,11.92,1995590,22562049593,2021-03-05,15,2418216,9.98,1.27,17.16,6.2,0.2,1.6,12.52,459589808
2611.HK,HKG:2611,Guotai Junan Securities Co Ltd,10.9,10.68,10.98,10.66,2367493,163198609288,2021-03-05,15,3557204,9.61,1.13,15.04,9.63,0.04,0.37,10.86,1391827180
0576.HK,HKG:0576,"Zhejiang Expressway Co., Ltd.",6.8,6.7,6.81,6.47,4803068,29533176028,2021-03-05,15,6001313,9.61,0.71,7.32,4.54,0.17,2.56,6.63,1433854500
0941.HK,HKG:0941,China Mobile Ltd.,56.85,54.1,57.0,54.1,69193790,1164031171451,2021-03-05,15,91770923,9.18,6.19,63.75,39.0,1.85,3.36,55.0,20475482897
1252.HK,HKG:1252,China Tianrui Group Cement Co Ltd,6.1,6.06,6.1,5.81,509000,17923517766,2021-03-05,15,1616807,9.05,0.67,8.89,5.81,0.04,0.66,6.06,2938281647
2368.HK,HKG:2368,Eagle Nice (International) Holdings Ltd,4.88,4.55,4.91,4.55,1315656,2596160060,2021-03-05,15,270031,8.8,0.55,4.91,1.85,0.25,5.4,4.63,532000000
0883.HK,HKG:0883,CNOOC Ltd,9.31,9.34,9.39,9.01,281304474,53438545964,2021-03-05,15,446997398,8.42,1.11,11.14,6.24,0.22,2.42,9.09,44647455984
1600.HK,HKG:1600,China Tian Lun Gas Holdings Limited,7.13,7.0,7.2,6.99,1615000,7155775834,2021-03-05,15,1533400,7.82,0.91,8.1,4.74,0.02,0.28,7.11,1003615108
1658.HK,HKG:1658,POSTAL SAVINGS BANK of CHINA Co Ltd,6.16,5.96,6.25,5.93,135824194,922835121140,2021-03-05,15,116433786,7.81,0.79,6.25,3.02,0.14,2.33,6.02,19856167000
0746.HK,HKG:0746,Lee & Man Chemical Co Ltd,4.26,4.1,4.32,3.92,1592000,3514500188,2021-03-05,15,171067,7.71,0.55,4.32,2.82,0.16,3.9,4.1,825000000
1776.HK,HKG:1776,GF Securities Co Ltd,11.06,10.96,11.26,10.82,5160426,131030147571,2021-03-05,15,5972167,7.68,1.44,13.36,7.44,0.06,0.55,11.0,1701796200
0548.HK,HKG:0548,Shenzhen Expressway Ord Shs H,7.67,7.44,7.67,7.3,5817057,20951709688,2021-03-05,15,3071949,7.35,1.04,9.66,6.65,0.28,3.79,7.39,747500000
1199.HK,HKG:1199,COSCO SHIPPING Ports Ltd,6.01,5.94,6.1,5.74,7673716,19924931966,2021-03-05,15,5545807,7.3,0.82,6.5,3.3,0.08,1.35,5.93,3315296374
