Unnamed: 0,id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
1310,1651.HK,HKG:1651,Precision Tsugami China Corporation Ltd,9.08,8.61,9.1,8.61,39000.0,3457700290.0,2021-03-05,15.0,190402.0,14.19,0.64,9.31,5.33,0.37,4.25,8.71,380804000.0
757,0868.HK,HKG:0868,Xinyi Glass Holdings Ltd.,22.45,21.0,22.95,19.9,24206445.0,90699095207.0,2021-03-05,15.0,14010686.0,14.13,1.59,25.15,7.74,0.5,2.28,21.95,4040048647.0
1742,3306.HK,HKG:3306,JNBY Design Ltd,12.74,12.7,12.76,12.0,2099400.0,6608874881.0,2021-03-05,15.0,1088006.0,13.91,0.92,13.48,6.0,0.04,0.31,12.7,518750000.0
673,0763.HK,HKG:0763,ZTE Ord Shs H,20.9,20.0,20.9,19.96,9048016.0,164633100795.0,2021-03-05,15.0,13685322.0,13.71,1.52,34.8,16.5,0.35,1.7,20.55,755502534.0
898,1044.HK,HKG:1044,Hengan International Group Company Ltd,54.7,53.0,55.1,52.85,6810405.0,64892657615.0,2021-03-05,15.0,4456134.0,12.65,4.32,72.0,51.35,1.6,3.01,53.1,1186337417.0
307,0327.HK,HKG:0327,Pax Global Technology Ltd,7.3,7.06,7.4,6.93,4490342.0,7987214908.0,2021-03-05,15.0,4717691.0,11.69,0.62,9.23,2.46,0.04,0.55,7.26,1094139000.0
385,0411.HK,HKG:0411,Lam Soon (Hong Kong) Limited,15.6,15.38,15.6,15.38,10000.0,3796325066.0,2021-03-05,15.0,6048.0,11.68,1.34,15.6,10.0,0.22,1.43,15.38,243354165.0
1840,3908.HK,HKG:3908,China International Capital Corp Ltd,17.34,16.86,17.44,16.3,29239193.0,223973672570.0,2021-03-05,15.0,27904227.0,11.65,1.49,25.75,10.72,0.02,0.12,17.32,1903714428.0
1743,3308.HK,HKG:3308,Golden Eagle Retail Group Limited,7.09,,,,0.0,11721050000.0,2021-03-04,15.0,216867.0,11.57,0.61,8.32,6.72,0.03,0.42,7.06,1660205000.0
130,0135.HK,HKG:0135,Kunlun Energy Company Ltd,7.63,7.58,7.8,7.49,23110298.0,66066658022.0,2021-03-05,15.0,19400889.0,11.56,0.66,8.06,2.9,0.09,1.19,7.54,8658801708.0
923,1072.HK,HKG:1072,Dongfang Electric Ord Shs H,6.98,6.83,7.11,6.76,3403400.0,42949594377.0,2021-03-05,15.0,7987067.0,11.49,0.61,8.86,3.59,0.15,2.2,6.83,340000000.0
288,0303.HK,HKG:0303,Vtech Holdings Ltd,69.0,66.0,69.3,64.6,1502507.0,2215709678.0,2021-03-05,15.0,552272.0,11.43,6.04,71.1,41.1,3.0,4.55,66.0,252129133.0
1649,2883.HK,HKG:2883,China Oilfield Services Ord Shs H,8.64,8.85,8.85,8.54,18072927.0,76326186392.0,2021-03-05,15.0,39897289.0,10.6,0.81,11.44,4.52,0.02,0.23,8.62,1811124000.0
1533,2314.HK,HKG:2314,Lee & Man Paper Manufacturing Ltd,8.14,7.54,8.28,7.3,16959494.0,35381667372.0,2021-03-05,15.0,8041433.0,10.05,0.81,8.7,4.0,0.6,7.96,7.54,4346642000.0
804,0921.HK,HKG:0921,Hisense Home Appliances Group Ord Shs H,12.72,12.42,12.86,11.92,1995590.0,22562049593.0,2021-03-05,15.0,2418216.0,9.98,1.27,17.16,6.2,0.2,1.6,12.52,459589808.0
1586,2611.HK,HKG:2611,Guotai Junan Securities Co Ltd,10.9,10.68,10.98,10.66,2367493.0,163198609288.0,2021-03-05,15.0,3557204.0,9.61,1.13,15.04,9.63,0.04,0.37,10.86,1391827180.0
510,0576.HK,HKG:0576,"Zhejiang Expressway Co., Ltd.",6.8,6.7,6.81,6.47,4803068.0,29533176028.0,2021-03-05,15.0,6001313.0,9.61,0.71,7.32,4.54,0.17,2.56,6.63,1433854500.0
