Symbol,shortName,sector,industry,marketCap,previousClose,fiftyTwoWeekLow,fiftyTwoWeekHigh,EPS (TTM)
0001.HK,CKH HOLDINGS,Industrials,Conglomerates,206308851712,53.45,45.05,71.85,10.33
0002.HK,CLP HOLDINGS,Utilities,Utilities—Regulated Electric,182283370496,71.9,65,84.2,1.84
0003.HK,HK & CHINA GAS,Utilities,Utilities—Regulated Gas,194062614528,10.9,10.64,14.6286,0.392
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate Services,52130381824,17.08,12.04,20.85,1.11
0005.HK,HSBC HOLDINGS,Financial Services,Banks—Diversified,877852229632,41.7,27.5,59.9,2.336
0006.HK,POWER ASSETS,Utilities,Utilities—Independent Power Producers,88144936960,41.2,39.2,57.5,3.34
0007.HK,,,,,,,,
0008.HK,PCCW,Communication Services,Telecom Services,35633639424,4.38,3.85,5.19,0.088
0009.HK,,,,,,,,
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate—Diversified,26940360704,19.54,14.02,21.6,5.01
0011.HK,HANG SENG BANK,Financial Services,Banks—Regional,278363930624,141.3,110,165.2,12.77
0012.HK,HENDERSON LAND,Real Estate,Real Estate Services,150313041920,30.75,26.05,37.75,3.51
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,29741142016,28.45,20,31.15,4.63
0015.HK,,,,,,,,
0016.HK,SHK PPT,Real Estate,Real Estate—Development,310085976064,105.8,87.6,116.4,15.5
0017.HK,NEW WORLD DEV,Real Estate,Real Estate—Diversified,89873162240,35,8.95,42.5,28.48
0018.HK,,,,,,,,
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,68569124864,48.35,35.1,75.3,6.0
0020.HK,,,,,,,,
0021.HK,,,,,,,,
