,id,Symbol,name,price,priceopen,high,low,volume,marketcap,tradetime,datadelay,volumeavg,pe,eps,high52,low52,change,changepct,closeyest,shares
0,0001.HK,HKG:0001,CK Hutchison Holdings Ltd,59.25,59.15,59.45,58.05,9241197,228482249625,2021/03/05,15,9094010,6.62,8.95,67.9,45.05,0.1,0.17,59.15,3856240500
1,0002.HK,HKG:0002,CLP Holdings Limited,73.15,73.45,73.9,73.15,5558073,24152872620,2021/03/05,15,4119238,16.13,4.53,84.2,65,-0.34,-0.46,73.49,2526450570
2,0003.HK,HKG:0003,The Hong Kong and China Gas Company Ltd.,11.54,11.56,11.66,11.46,17585226,26123826208,2021/03/05,15,30309937,35.71,0.32,14.61,10.64,-0.02,-0.17,11.56,17771304856
3,0004.HK,HKG:0004,Wharf Holdings Ltd,18.84,18.54,18.92,18.16,3094902,57509615306,2021/03/05,15,2515234,#N/A,-0.26,20.85,12.04,0.18,0.96,18.66,3052527327
4,0005.HK,HKG:0005,HSBC Holdings plc,46.1,46.3,46.3,45.5,21428414,125092516068,2021/03/05,15,39150248,30.86,1.49,52.1,27.5,-0.45,-0.97,46.55,20368775959
5,0006.HK,HKG:0006,Power Assets Holdings Ltd,43.15,43.2,43.3,42.9,1949963,92093393626,2021/03/05,15,3078509,16.44,2.62,57.1,39.2,-0.2,-0.46,43.35,2134261654
6,0007.HK,HKG:0007,Hong Kong Finance Investment Hldg Grp Ld,0.14,0.14,0.14,0.13,16868000,544000029,2021/03/05,15,28373333,1,0.14,0.92,0.05,0,-0.73,0.14,4000000000
7,0008.HK,HKG:0008,PCCW Limited Common Stock,4.47,4.45,4.49,4.45,13710396,4359515728,2021/03/05,15,15500355,#N/A,-0.13,5.19,3.85,-0.01,-0.22,4.48,7729638249
8,0009.HK,HKG:0009,Keyne Ltd,0.07,0.07,0.07,0.07,324000,249815345,2021/03/05,15,1501675,#N/A,-0.1,0.15,0.05,0,1.45,0.07,3568790629
9,0010.HK,HKG:0010,Hang Lung Group Limited,19.36,19.2,19.8,18.88,841000,26360929996,2021/03/05,15,987752,#N/A,-1.13,21.6,14.02,0.18,0.94,19.18,1361618242
10,0011.HK,HKG:0011,Hang Seng Bank Ltd,152,151.4,152.4,149.7,1479906,290600095872,2021/03/05,15,2427579,18.18,8.36,156.3,110,0,0,152,1911842736
11,0012.HK,HKG:0012,"Henderson Land Development Co., Ltd.",33.45,33.7,33.75,33.3,2105742,161944398944,2021/03/05,15,3579200,13.15,2.54,37.05,26.05,-0.4,-1.18,33.85,4841387003
12,0014.HK,HKG:0014,Hysan Development Company Limited,32.45,32.05,32.6,31.35,1854712,33738294706,2021/03/05,15,2604914,#N/A,-2.44,33.8,20,0.2,0.62,32.25,1039700891
13,0015.HK,HKG:0015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14,0016.HK,HKG:0016,Sun Hung Kai Properties Limited,119.2,117.3,119.2,117,3264356,45205369105,2021/03/05,15,4728819,15.93,7.48,126,87.6,0.1,0.08,119.1,2897780274
15,0017.HK,HKG:0017,New World Development Company Ltd.,39.05,38.05,39.05,37.9,6103378,99141345528,2021/03/05,15,5749871,91.37,0.43,42.5,29.84,0.6,1.56,38.45,2538830921
16,0018.HK,HKG:0018,Oriental Press Group Ltd,0.51,0.52,0.52,0.51,12000,1222938105,2021/03/05,15,404609,30.7,0.02,0.6,0.39,-0.02,-3.77,0.53,2397917898
17,0019.HK,HKG:0019,Swire Pacific Ord Shs A,56,56,56.8,55.35,2427060,77302400000,2021/03/05,15,2054553,#N/A,-4.44,71.85,35.1,-0.35,-0.62,56.35,905206000
18,0020.HK,HKG:0020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,0021.HK,HKG:0021,Great China Properties Holdings Ltd,0.27,0.25,0.27,0.25,650000,1073313062,2021/03/05,15,1441944,131.71,0,0.34,0.07,0,-1.82,0.28,3975233406
20,0022.HK,HKG:0022,Mexan Limited,0.14,#N/A,#N/A,#N/A,0,267428700,2021/03/03,15,107559,#N/A,-0.04,0.15,0.1,0,0,0.14,1966387866
21,0023.HK,HKG:0023,Bank of East Asia Ltd,17.96,18,18.28,17.72,1208104,6678986408,2021/03/05,15,1219737,18.54,0.97,19.98,13.8,-0.4,-2.18,18.36,2916587963
22,0024.HK,HKG:0024,Burwill Holdings Ltd,0.07,#N/A,#N/A,#N/A,0,#N/A,2019/08/16,15,#N/A,#N/A,-0.07,0.08,0.07,0,1.41,0.07,5111622235
23,0025.HK,HKG:0025,Chevalier International Holdings Limited,9.76,9.8,9.8,9.76,8000,2946821643,2021/03/05,15,22260,7.16,1.36,11.14,8.99,0,0,9.76,301928440
24,0026.HK,HKG:0026,China Motor Bus Company Ltd,99.6,99.6,100.5,99.45,5822,4512682308,2021/03/05,15,13245,#N/A,-2.91,126.8,90.2,-1.2,-1.19,100.8,45308056
25,0027.HK,HKG:0027,Galaxy Entertainment Group Limited,73.55,71.05,74.4,70.55,17654674,319539385267,2021/03/05,15,18188790,#N/A,-0.92,80.3,37,0.15,0.2,73.4,4344518994
